0,1,2
会,['カイ、エ'],['あ.う、あ.わせる、あつ.まる']
同,['ドウ'],['おな.じ']
自,['ジ、シ'],['みずか.ら、おの.ずから、おの.ずと']
事,['ジ、ズ'],['こと、つか.う、つか.える']
社,['シャ'],['やしろ']
力,['リョク、リキ、リイ'],['ちから']
立,['リツ、リュウ、リットル'],['た.つ、-た.つ、た.ち-、た.てる、-た.てる、た.て-、たて-、-た.て、-だ.て、-だ.てる']
手,['シュ、ズ'],['て、て-、-て、た-']
地,['チ、ジ'],[]
田,['デン'],['た']
方,['ホウ'],['かた、-かた、-がた']
発,['ハツ、ホツ'],['た.つ、あば.く、おこ.る、つか.わす、はな.つ']
目,['モク、ボク'],['め、-め、ま-']
場,['ジョウ、チョウ'],['ば']
者,['シャ'],['もの']
業,['ギョウ、ゴウ'],['わざ']
明,['メイ、ミョウ、ミン'],['あ.かり、あか.るい、あか.るむ、あか.らむ、あき.らか、あ.ける、-あ.け、あ.く、あ.くる、あ.かす']
新,['シン'],['あたら.しい、あら.た、あら-、にい-']
正,['セイ、ショウ'],['ただ.しい、ただ.す、まさ、まさ.に']
京,['キョウ、ケイ、キン'],['みやこ']
公,['コウ、ク'],['おおやけ']
通,['ツウ、ツ'],['とお.る、とお.り、-とお.り、-どお.り、とお.す、とお.し、-どお.し、かよ.う']
員,['イン'],[]
理,['リ'],['ことわり']
体,['タイ、テイ'],['からだ、かたち']
開,['カイ'],['ひら.く、ひら.き、-びら.き、ひら.ける、あ.く、あ.ける']
文,['ブン、モン'],['ふみ、あや']
問,['モン'],['と.う、と.い、とん']
代,['ダイ、タイ'],['か.わる、かわ.る、かわ.り、か.わり、-がわ.り、-が.わり、か.える、よ、しろ']
作,['サク、サ'],['つく.る、つく.り、-づく.り']
用,['ヨウ'],['もち.いる']
動,['ドウ'],['うご.く、うご.かす']
言,['ゲン、ゴン'],['い.う、こと']
強,['キョウ、ゴウ'],['つよ.い、つよ.まる、つよ.める、し.いる、こわ.い']
野,['ヤ、ショ'],['の、の-']
思,['シ'],['おも.う、おもえら.く、おぼ.す']
家,['カ、ケ'],['いえ、や、うち']
主,['シュ、ス、シュウ'],['ぬし、おも、あるじ']
題,['ダイ'],[]
町,['チョウ'],['まち']
意,['イ'],[]
心,['シン'],['こころ、-ごころ']
度,['ド、ト、タク'],['たび、-た.い']
教,['キョウ'],['おし.える、おそ.わる']
持,['ジ'],['も.つ、-も.ち、も.てる']
多,['タ'],['おお.い、まさ.に、まさ.る']
口,['コウ、ク'],['くち']
元,['ゲン、ガン'],['もと']
近,['キン、コン'],['ちか.い']
考,['コウ'],['かんが.える、かんが.え']
画,['ガ、カク、エ、カイ'],['えが.く、かく.する、かぎ.る、はかりごと、はか.る']
海,['カイ'],['うみ']
早,['ソウ、サッ'],['はや.い、はや、はや-、はや.まる、はや.める、さ-']
売,['バイ'],['う.る、う.れる']
不,['フ、ブ'],[]
世,['セイ、セ、ソウ'],['よ']
空,['クウ'],['そら、あ.く、あ.き、あ.ける、から、す.く、す.かす、むな.しい']
知,['チ'],['し.る、し.らせる']
院,['イン'],[]
計,['ケイ'],['はか.る、はか.らう']
足,['ソク'],['あし、た.りる、た.る、た.す']
界,['カイ'],[]
字,['ジ'],['あざ、あざな、-な']
音,['オン、イン、-ノン'],['おと、ね']
朝,['チョウ'],['あさ']
以,['イ'],['もっ.て']
台,['ダイ、タイ'],['うてな、われ、つかさ']
広,['コウ'],['ひろ.い、ひろ.まる、ひろ.める、ひろ.がる、ひろ.げる']
道,['ドウ、トウ'],['みち、いう']
安,['アン'],['やす.い、やす.まる、やす、やす.らか']
重,['ジュウ、チョウ'],['え、おも.い、おも.り、おも.なう、かさ.ねる、かさ.なる、おも']
赤,['セキ、シャク'],['あか、あか-、あか.い、あか.らむ、あか.らめる']
青,['セイ、ショウ'],['あお、あお-、あお.い']
工,['コウ、ク、グ'],[]
止,['シ'],['と.まる、-ど.まり、と.める、-と.める、-ど.め、とど.める、とど.め、とど.まる、や.める、や.む、-や.む、よ.す、-さ.す、-さ.し']
集,['シュウ'],['あつ.まる、あつ.める、つど.う']
物,['ブツ、モツ'],['もの、もの-']
切,['セツ、サイ'],['き.る、-き.る、き.り、-き.り、-ぎ.り、き.れる、-き.れる、き.れ、-き.れ、-ぎ.れ']
使,['シ'],['つか.う、つか.い、-つか.い、-づか.い']
品,['ヒン、ホン'],['しな']
死,['シ'],['し.ぬ、し.に-']
始,['シ'],['はじ.める、-はじ.める、はじ.まる']
楽,['ガク、ラク、ゴウ'],['たの.しい、たの.しむ、この.む']
運,['ウン'],['はこ.ぶ']
少,['ショウ'],['すく.ない、すこ.し']
終,['シュウ'],['お.わる、-お.わる、おわ.る、お.える、つい、つい.に']
花,['カ、ケ'],['はな']
住,['ジュウ、ヂュウ、チュウ'],['す.む、す.まう、-ず.まい']
親,['シン'],['おや、おや-、した.しい、した.しむ']
真,['シン'],['ま、ま-、まこと']
有,['ユウ、ウ'],['あ.る']
別,['ベツ'],['わか.れる、わ.ける']
夕,['セキ'],['ゆう']
急,['キュウ'],['いそ.ぐ、いそ.ぎ、せ.く']
送,['ソウ'],['おく.る']
特,['トク'],[]
答,['トウ'],['こた.える、こた.え']
夜,['ヤ'],['よ、よる']
転,['テン'],['ころ.がる、ころ.げる、ころ.がす、ころ.ぶ、まろ.ぶ、うたた、うつ.る、くる.めく']
店,['テン'],['みせ、たな']
帰,['キ'],['かえ.る、かえ.す、おく.る、とつ.ぐ']
研,['ケン'],['と.ぐ']
歌,['カ'],['うた、うた.う']
図,['ズ、ト'],['え、はか.る']
室,['シツ'],['むろ']
究,['キュウ、ク'],['きわ.める']
歩,['ホ、ブ、フ'],['ある.く、あゆ.む']
風,['フウ、フ'],['かぜ、かざ-']
紙,['シ'],['かみ']
起,['キ'],['お.きる、お.こる、お.こす、おこ.す、た.つ']
着,['チャク、ジャク'],['き.る、き.せる、つ.く、つ.ける']
黒,['コク'],['くろ、くろ.ずむ、くろ.い']
病,['ビョウ、ヘイ'],['や.む、-や.み、やまい']
春,['シュン'],['はる']
待,['タイ'],['ま.つ、-ま.ち']
族,['ゾク'],[]
料,['リョウ'],[]
銀,['ギン'],['しろがね']
建,['ケン、コン'],['た.てる、た.て、-だ.て、た.つ']
色,['ショク、シキ'],['いろ']
走,['ソウ'],['はし.る']
秋,['シュウ'],['あき、とき']
医,['イ'],['い.やす、い.する、くすし']
仕,['シ、ジ'],['つか.える']
夏,['カ、ガ、ゲ'],['なつ']
去,['キョ、コ'],['さ.る、-さ.る']
味,['ミ'],['あじ、あじ.わう']
犬,['ケン'],['いぬ、いぬ-']
古,['コ'],['ふる.い、ふる-、-ふる.す']
写,['シャ、ジャ'],['うつ.す、うつ.る、うつ-、うつ.し']
買,['バイ'],['か.う']
週,['シュウ'],[]
私,['シ'],['わたくし、わたし']
注,['チュウ'],['そそ.ぐ、さ.す、つ.ぐ']
試,['シ'],['こころ.みる、ため.す']
悪,['アク、オ'],['わる.い、わる-、あ.し、にく.い、-にく.い、ああ、いずくに、いずくんぞ、にく.む']
験,['ケン、ゲン'],['あかし、しるし、ため.す、ためし']
英,['エイ'],['はなぶさ']
館,['カン'],['やかた、たて']
屋,['オク'],['や']
曜,['ヨウ'],[]
質,['シツ、シチ、チ'],['たち、ただ.す、もと、わりふ']
肉,['ニク'],['しし']
鳥,['チョウ'],['とり']
習,['シュウ、ジュ'],['なら.う、なら.い']
冬,['トウ'],['ふゆ']
昼,['チュウ'],['ひる']
茶,['チャ、サ'],[]
洋,['ヨウ'],[]
弟,['テイ、ダイ、デ'],['おとうと']
旅,['リョ'],['たび']
牛,['ギュウ'],['うし']
映,['エイ'],['うつ.る、うつ.す、は.える、-ば.え']
兄,['ケイ、キョウ'],['あに']
服,['フク'],[]
妹,['マイ'],['いもうと']
駅,['エキ'],[]
姉,['シ'],['あね、はは']
勉,['ベン'],['つと.める']
魚,['ギョ'],['うお、さかな、-ざかな']
借,['シャク'],['か.りる']
飲,['イン、オン'],['の.む、-の.み']
飯,['ハン'],['めし']
漢,['カン'],[]
貸,['タイ'],['か.す、か.し-、かし-']
堂,['ドウ'],[]
